,item,categories,description,title,price,brand,salesRank,item_id
10,B00003XAKP,[['Baby']],"Changing a crib sheet has never been easier. Four products in one, the Ultimate Crib Sheet are a quick change sheet, mattress pad, super absorbent pad, and a waterproof pad. It attaches to the crib by ten elastic straps to ensure a safe night's sleep for baby. No need to remove bumper or lift mattress to change the sheet.","Summer Infant Ultimate Crib Sheet, 52&quot; x 28&quot;",12.99,Summer Infant,,10
11,B00003XAKR,[['Baby']],"The Handy's Mattress Pad is a fantastic product for toddlers sleeping on twin or full sized beds. This mattress pads is super absorbent, using poly/rayon filler for extra absorbency/ the bottom is vinyl to protect sheets and the mattress. Great for potty training.","Summer Infant, Ultimate Training Pad - Twin Mattress, 38&quot; x 28&quot;",16.57,Summer Infant,,11
12,B000046S2U,[['Baby']],"To answer the first question on everyone's mind. Yes indeed it  is... odorless. This wondrous white contraption from Safety 1st lives  up to its name by trapping even the stinkiest of nappies (around 18 to  24 in all) in a sealed bag within a deodorized compartment. The  additional beauty of this odor-eater is that it uses standard 13-gallon  kitchen garbage bags. Read: no refills (Can I get an amen?). It's easy  to use, with just three steps; after all, who has time to mess with a  tricky diaper pail when you have a wiggly baby on your hip, anyway? A  child-resistant lock keeps the lid in place and your toddling kid's  curiosity unfulfilled. This is an economical, easy to clean, and  stink-free way to manage the dirtiest part of parenthood.--Melissa  Wilson",Odorless Diaper Pail by Safety 1st,,,,12
13,B000046S3T,[['Baby']],"Our new 2 Piece Shock guard covers conveniently guards outlets in use by preventing children from pulling out the plugs.  The under frame has been designed to be screwed on over the outlet.  The outer box portion snaps into the frame while encasing the plugs away from curious fingers.  Parents can remove the large box piece without having to use a screwdriver.  Features 2 Box shaped covers that fit over ""outlets in use"", 2 Piece design:  Large Box & Frame, 2 openings at bottom of cover, in neutral color and new package design utilizes 5-color graphics and creative line look.  Prevents children from pulling out plugs in use and can keep from putting sharp objects into unused sockets, allows parents to remove the Large Box that covers the outlet, without having to unscrew the product from the wall, allows 2 appliances to be plugged in and the plugs are not accessible to children, blends with all decor and attracts the consumers attention & clearly shows the product in use.",Plug 'N Outlet Cover,4.29,Safety 1st,,13
14,B000046S3W,[['Baby']],"The restyled Safety 1st Power Strip Cover conveniently covers the entire power strip, including the on/off switch, preventing children from pulling out the plugs. The collapsible design provides a secure fit for large or small power strips and surge protectors.",Safety 1st Power Strip Cover,7.99,Safety 1st,,14
15,B0000482FN,[['Baby']],"Our Oven Lock is designed to prevent curious tots form opening potentially dangerous oven doors.  Features include a special heat-resistant latch and convenient squeeze/release tabs.  Sturdy, heat-resistant plastic latch, squeeze tab lock/release, easy assembly, neutral colors, eye-catching packaging and packaged with recycled paperboard.  Helps keep oven doors closed, easy for adults to use, complete instructions enclosed, blend with all kitchen decor, attracts consumers and lcearly demonstrates product in use and is environmentally responsive.",Safety 1St/Dorel Oven Lock 241 Child Safety,0.29,Safety 1st,,15
16,B0000488W1,[['Baby']],"Harnessing the invisible power of magnets, this Tot Lok starter  set provides an effective way to keep your baby or toddler from opening  cabinet doors and drawers. The set comes with two latches that can be  installed on the inside of doors and drawers that measure between 0.5  inch thick to over 1.5 inches thick, along with one magnetic key that  will open either latch when it is placed against the front of the door  where the latches are mounted. Each latch is also equipped with a lever  that can be flipped to disengage the lock so you can use the door or  drawer normally. The system works well and has the added advantage of  being completely hidden from view, but it requires that parents keep  the key in a safe place where it won't be misplaced or lost. The Tot  Lok starter set comes with mounting instructions and a template to aid  in installation.--Chris Burns",Safety 1st Tot-Lok Starter Set,6.4,Safety 1st,,16
17,B0000488W2,[['Baby']],Four Tot Loks and one Tot Lok key keep your little one out of drawers and cabinets.,Safety 1st Magnetic Tot Lok Complete Set,9.0,Safety First,,17
18,B00004C8S8,[['Baby']],"Babies' little nails grow very fast and can get quite sharp.  It is important to keep nails short and smooth so babies can't scratch themselves and get hurt.  Safety 1st Nail Clippers are specially designed with curved cutting edges to trim nails closely and easily.  The extension wand ensures a firm grip on the clippers, helping to eliminate trimming mishaps.   Features Baby Nail Clippers, extended grip, stainless steel and plastic construction, curved edges cutting surface and brand name recognition.  Sized small to safely and easily trim baby's  little nails, to avoid slipping and provide a more secure grip for parents, for long lasting use, safe for use for baby and Safety 1st is a leader in the Child Care market and once again offers a new, unique design at a great price point.",Hospital's Choice Fold Up Nail Clippers,2.49,Safety 1st,,18
19,B00004D3ES,[['Baby']],"Bathing baby at home or away is easy with this small, portable tub  that fits securely onto a countertop or in a sink, and then folds in half for  easy storage. This contoured tub with a slip- and mildew-resistant foam liner  is comfortable, sanitary, and features a built-in storage compartment for  bathing necessities. A carry handle and an easy-release drain plug make  cleanup a snap. And best of all, it stores in half the space of a  conventional infant tub.--Deb Oroszlan",Safety 1st Space Saver Fold-Up Bath Tub,,,,19
20,B00004D3EU,[['Baby']],"More than just a bathtub, the 4-in-1 Bath Station offers a  variety of features that make this tub appropriate for several stages  in a baby's life cycle. First, the tub's sling can be attached to a  sink to cradle a newborn during a sponge bath. In addition, the sling  mode can be utilized within the tub itself once baby has graduated to  tub baths. An ingenious swing-out bath ring converts the tub into a  bath seat once baby sits up on his own. Ultimately, the tub (without  the sling or bath ring) works as a full-size toddler bathtub. All in  all, this makes for a cleverly designed product that will be convenient  for many bathing scenarios.--Jane Snyder",Safety 1st Deluxe 4-in-1 Bath Station,,,,20
21,B00004RA66,[['Baby']],"This gate allows you to create a large enclosed play area (18.5  square feet) for your toddler, indoors or out. Complete with a portable  carrying strap, this six-panel gate made of durable plastic is easy to  carry to wherever you might need it. Simply extend the panels and snap  the gate shut and you've got a safe, spacious area for play or naptime.  The area can be extended to 34.4 square feet with the purchase of the  extension kit.--Jane Snyder",Northstate Superyard Playgate Light Gray,34.79,North States Industries,,21
22,B00004TFLB,[['Baby']],"A true breakthrough in music education, the Munchkin Mozart Magic Cube will be music to your baby's ears. Providing hours of interactive play for budding young composers of all ages, this award-winning toy is the perfect musical foundation for little ones..caption { font-family: Verdana, Helvetica neue, Arial, serif; font-size: 10px; font-weight: bold; font-style: italic; } ul.indent { list-style: inside disc; text-indent: 20px; } table.callout { font-family: Verdana, Helvetica, Arial, serif; margin: 10px; width: 250; } td.callout { height: 100 percent; background: #9DC4D8 url(http://images.amazon.com/images/G/01/electronics/detail-page/callout-bg.png) repeat-x; border-left: 1px solid #999999; border-right: 1px solid #999999; padding: 10px; width: 250px; } ul.callout { list-style: inside disc; text-indent: -12px; font-size: 12px; line-height: 1.5em; } h5.callout { text-align: center; }The Munchkin Mozart Magic Cube teaches how sounds combine to create baby's own Mozart masterpieces.View larger.- </td></tr><tr><td> <table align=right width=200 cellpadding=10> <tr> <td> <img src=""http://images.amazon.com/images/G/01/baby/detail-page/B00004TFLB-2.jpg"" border=0 align=top><br><br><span class=""caption"">Add or subtract instruments with the touch of a button. </span> </td> </tr> </table> </td></tr></table> -The Munchkin Mozart Magic Cube offers:Sounds from 5 instruments.Soft, rounded corners for baby's safety.Fun and entertainment for babies of all ages.Music Education in a CubeFun, creative, and inspiring, the Magic Cube teaches how sounds combine to create eight Mozart masterpieces. With a touch of a button, this interactive cube lets your child add or subtract from any combination of five different instruments, including harp, French horn, piano, flute, and violin. Each selected instrument button flashes along to the beat of the music. An orchestra button even plays all the instruments at once.Baby-Safe DesignDesigned with durable plastic construction, the Magic Cube features bright colors such as yellow, green, purple, and magenta. Made with soft, rounded corners, it's easy and safe for baby to hold. The 6-inch cube requires three AA batteries (not included).",Munchkin Mozart Magic Cube,21.99,Munchkin,,22
23,B00004TIHX,[['Baby']],"This Ginsey Home Solutions Sesame Street Elmo Soft Potty seat features Sesame Street's famous character, Elmo. Its seat is softly padded for comfort and warmth. This includes easy grip handles and removable cushion for easy cleaning. It requires adult supervision. This is soft, comfortable, durable and fits regular and elongated toilets.","Sesame Street Potty Soft Seat, Elmo",21.95,,,23
24,B00004W1UB,[['Baby']],"Tinkle, Crinkle, Rattle & Squeak Worm - Primary",Gund Baby Tinkle Crinkle Rattle Toy,12.92,Gund,,24
25,B00004YMZE,[['Baby']],"Here is what a parent&#x92;s mantra should be when seeking a safety gate: Easy for me, difficult for child. Because really, what else do you need? A good-looking gate is nice, sure, and it&#x92;s important to have the right size for various entryways. But it all comes down to safety for the kid and ease-of-use for the parent. The Evenflo Top of Stair Gate meets and exceeds these stipulations. And it&#x92;s not bad looking, either!Perfect for High Traffic AreasDesigned to secure that most dangerous of crawler/toddler attractions, the stairs, the Top of Stair Gate features key safety elements, including four-point hardware mount, one-direction swing setting, and kidproof latch.Four-Point Hardware MountThis is an extremely secure mounting when used with the one-direction swing setting for the gate. A Phillips screwdriver and electric drill with 1/8-inch bit are required (not included). A mounting template is included for quick installation&#x97;this is a very useful benefit, as most parents spend far more time than they had originally planned or hoped, installing gates. The gate is easy to remove (leaving the hardware in the walls) for those times when you don&#x92;t need it and do want easier grownup access to the stairs.Swing MountCorrectly installed, the gate can swing both waysorbe used with the one-direction swing setting for top of stairs use. The usefulness of this setting becomes obvious when you consider the danger of the accidentally unlatched gate swinging open over the stairs&#x85;Childproof LatchTo open the gate, press in and slide out. You&#x92;ll hear an audible click. Once you&#x92;ve got the hang of it, it&#x92;s a quick, one-handed operation that will allow you to pass through the gate even while carrying a child&#x97;but foil even the most dexterous toddler&#x92;s attempts to break out.Vertical Bars: Not Just for Prison AnymoreVertical bars are crucial to any gate&#x92;s effectiveness. Amazingly, some gate manufacturers have not figured this out yet. A horizontal bar across a gate is an open invitation to climb. Evenflo, fortunately, has a firm grasp on this concept. The Top of Stair vertical bars&#x92; smooth, non-toxic, splinter-resistant finish thwarts little climbers.A Good, Basic GateStanding 30 inches tall and extending from 28 to 42 inches wide, the gate fits standard doorways and keeps children (up to 24 months) appropriately frustrated in their efforts to topple down stairs.--Emilie Coulter",Evenflo Top of Stair Gate,39.99,Evenflo,,25
26,B00004YT3U,[['Baby']],"It's a simple fact: kids love dinosaurs. And this dino-packed  set from the folks at Animal Planet delivers the goods. Various  prehistoric critters roam this simulated landscape, which is replete with  palm trees, ponds, and spooky-looking rocks. The set is even portable,  so when you're ready to reenact extinction, simply fold it and go.",Animal Planet's Big Tub of Dinosaurs,23.19,Hasbro,,26
27,B00005610Y,[['Baby']],"Tot Wheels is a well-designed and versatile ""lowchair"" for  babies in the 6- to 18-month range. Three rubber feet around the square  base help keep the chair motionless, but when they're popped out of the  way it's possible to pick up the rear handle and move the unit around  on two large plastic casters. There's a tray for meals and games,  complete with a see-through panel; onto this can be attached the  electronic activity center, which has a mirror, lights, steering wheel,  and sound effects. The cloth seat snaps on and off and is washable.  Height is adjustable. Adult assembly and two AA batteries required.--Richard Farr",Graco Tot Wheels V Mobile Entertainer Center,,,,27
28,B000056C86,[['Baby']],"Our Pack 'n Play TotBloc playard has an extra-large play space that creates a safe area that your little one will love. Plus, it's loaded with convenient features for you including a no-fuss set-up that allows you to make it baby-ready in less than a minute. This durable playard is ultra-portable because it weighs less than 25 pounds. With the convenient carry bag, you are ready to go anywhere, anytime. Integrated, interactive toys helps keep baby stimulated and entertained.","Graco TotBloc Pack 'N Play with Carry Bag, Bugs Quilt",99.0,Graco,,28
29,B000056HM5,[['Baby']],"This nurser starter set is appropriate for the mother who hasn't yet  figured out exactly what she and baby want. The five included bottles (two  4-ounce and three 8-ounce) are all of the disposable-liner type--an open-ended  plastic sleeve with ounce markings up the side. But the pack includes both  standard plastic-bag style disposable liners (in both sizes) and five each of  the Playtex Drops-Ins, which are semirigid and have their own lip at the top for  convenience. There are also four different kinds of nipple: infant, round, older  baby, and orthodontic. One of the 8-ounce sleeves has an ""Eazy-Feed""  system--essentially, an inner ring that can be pushed up from the outside with  one thumb--that acts as a built-in burper.--Richard Farr",Playtex Drop-Ins Original BPA Free Nurser Newborn Starter Set,7.8,,,29
30,B000056HM8,[['Baby']],"These prefolded white diapers are made from 100 percent cotton, in a  soft bird's-eye weave, with an absorbent polyester pad inside that runs the  length of the central fold. The diapers measure 14.5 by 20.5 inches. Folding  instructions are on the package; wash using nonchlorine bleach.--Richard  Farr",Gerber 12-Pack Prefold Birdseye 3-Ply Cloth Diapers with Padding - White,12.19,,,30
31,B000056HMB,[['Baby']],"About the size of a coffee maker, this electric baby bottle  cooler/warmer will be a big convenience for bleary-eyed parents who are tired of  stumbling down to the kitchen in the middle of the night. At the rear of the  unit, an insulated compartment keeps two 8-ounce bottles cool for up to eight  hours. (There's no refrigerant, just a specially shaped container that can be  filled with water, frozen, and then slipped into place.) At the front, an  electrically heated water container produces steam, which heats one bottle to  the correct temperature in about five minutes. There's also a night-light built  into the front of the unit. Note that the unit cannot be used with glass bottles.--Richard Farr",The First Years Night and Day Bottle Warmer System,34.95,The First Years,,31
32,B000056HMV,[['Baby']],"Breastfeeding mothers, especially those who need a night off or who work outside the home, know how essential and personal a breast pump can be. Like most breast pumps, this Medela model mimics a nursing baby's sucking motion, and it comes with numerous attachments that make it easy to transfer a mother's milk into a standard baby bottle. Because of its compact size, the pump is discreet and highly portable. It comes with a companion transformer, so it can be plugged into an electrical outlet, or it can be powered with two AA batteries.--Hannah Reynolds",Medela Single Deluxe Battery/Electric Breastpump,29.99,,,32
33,B000056HMX,[['Baby']],"The KidCo ConfigureGate Safety Gate offers maximum flexibility in making your home safer for your baby. This unique gate allows you to block access through odd-shaped areas or doorways without parallel mounting points, while providing your baby the freedom to grow and explore in a safe environment. At 29-1/2 inches in height, the ConfigureGate is the perfect height for keeping babies, young toddlers, and even pets secure..caption { font-family: Verdana, Helvetica neue, Arial, serif; font-size: 10px; font-weight: bold; font-style: italic; } ul.indent { list-style: inside disc; text-indent: 20px; } table.callout { font-family: Verdana, Helvetica, Arial, serif; margin: 10px; width: 250; } td.callout { height: 100 percent; background: #9DC4D8 url(http://images.amazon.com/images/G/01/electronics/detail-page/callout-bg.png) repeat-x; border-left: 1px solid #999999; border-right: 1px solid #999999; padding: 10px; width: 250px; } ul.callout { list-style: inside disc; text-indent: -12px; font-size: 12px; line-height: 1.5em; } h5.callout { text-align: center; }The ConfigureGate Safety Gate offers:Customizable gate blocks access through irregular-shaped spacesIncludes dual-directional gate with one-handed releaseExtensions available for creating larger barrierThe ConfigureGate fits between walls in odd-shaped spaces to keep baby safe.View larger.Unique, Customizable ConfigurationThe ConfigureGate comes with three 24-inch, interlocking panels, which can be angled in 10-degree increments in any configuration you like. Each of the end panels includes wall-mounting features, so you can secure the gate across irregularly shaped spaces from wall to wall. The center panel includes a gate that opens in either direction with a one-handed release for easy parental access. You can purchase extensions (sold separately), available in 8-inch and 24-inch sizes, to fence off wider areas.High Quality and Thoughtful CraftsmanshipWith the KidCo ConfigureGate, form follows function. It meets or exceeds US Child Safety Standards, providing the maximum protection for your child, and with its Scandinavian-inspired design, the gate's clean-lined, minimalist style will blend handsomely into any d&eacute;cor. Like all KidCo gates, the ConfigureGate is constructed with fine, high-quality materials, including thicker virgin steel and certified non-toxic paint. The European factories are ISO 9000 and ISO 14001 certified.",Custom Fit KidCo Configure Gate - White,124.95,KidCo,,33
34,B000056HMY,[['Baby']],"With four different sound options, a voice activation button,  and a built-in night-light, the Nature's Lullaby Player offers far more  versatility than your typical nursery sound-and-music player. Fitting  snugly onto a standard crib rail, the all-plastic player stays in place  once it is set--with the control panel facing out from the crib for  easy access and the optional night-light facing into the crib. After  sliding the control panel down and turning the unit on, parents can  select one of four different soothing sounds to help baby go to sleep.  Included are the sounds of a gentle, steady rainfall, the rhythmic ebb  and flow of waves crashing on a beach, and a medley of three different  lullaby melodies. The player can also simulate the sound of a muffled  heartbeat--a familiar sound that can be very helpful when trying to  calm a newborn. A large volume-control dial and a 15-minute timer  button make this well-designed player even more user-friendly. Requires  four AA batteries (not included).--Chris Burns",The First Years Nature Sensations Lullaby Player,30.88,The First Years,,34
35,B000056HND,[['Baby']],"At a distance, this portable crib could be mistaken for the  permanent variety. Up close, it's clearly something else: a smaller  item altogether, with a 2-inch mattress and board that lift out and two  locking latches. Pop the latches, and in less than a minute the whole  thing folds up to a mere 6 inches wide. In this configuration, it can  still be rolled on the four plastic casters (if care is taken that it  doesn't fall over). Two of the casters lock. Although the board and  mattress can be stored inside the folded frame, it's a pity the board  isn't simply hinged, as in some competing models; this would make setup  and storage slightly easier (and it would make dropping the board on a  toe more difficult). Also, the locking latches are a little hard to  figure out the first time; we've seen more traditional hardware that's  simpler, equally safe, and easier to use.--Richard Farr",Cosco Portable Crib - White,6.99,,,35
36,B000056HNM,[['Baby']],"With its turned legs and rails, this oak-lacquered, all-wood  changing table looks like it belongs in the corner of an old-fashioned  country kitchen more than in a modern nursery. But even if Mom doesn't  wear lace-fringed gingham skirts or the house is steel-and-glass  modern, this is a practical piece of baby furniture. Two large shelves  provide ample storage for diapers and other paraphernalia. On top  there's a 34-by-18-inch pad with a wipe-clean surface and a nylon  restraining strap. The table is light enough to be movable but is still  quite sturdy.--Richard Farr",Delta Children's Products Vintage Chic Jenny Lind Changing Table in Oak,,,,36
37,B000056HNO,[['Baby']],"This plush cover makes changing your little one comfortable and easy.  The material is a nice weight, so it will keep your baby warm and hold up through many  washes. The elasticized cotton pad is so soft that baby will want to hang out  and play on the changing pad. You'll definitely want to have a few on hand  so your baby always has a soothing place for her bottom.--Andrea Linsky",Terry Contoured Changing Pad Cover - Ecru,,,,37
38,B000056HNV,[['Baby']],"For parents who want to provide their baby with a warm and cozy  sleep environment, this UltraSoft Quilted Crib Mattress Pad is a good  place to start. The 28-by-52-inch premium-quality pad has a thick  cotton blend cover, a thinner cotton blend skirt, and a durable  waterproof underlayer to protect your crib mattress from accidents and  spills. Fitting over all standard cribs and some toddler beds, the pad  itself has a luxurious and cushiony feel to it: place it over a good  crib mattress and you've got a wonderfully soft bed for baby. For  occasional cleaning, you can machine wash the pad in warm water and  then tumble-dry on a low setting. This mattress pad comes with a  reusable zip-up travel and storage bag.--Chris Burns",UltraSoft Quilted Crib Mattress Pad,24.97,Kid-Ding,,38
39,B000056HNX,[['Baby']],"This threesome of 9-ounce bottles is a great way to round out your Avent feeding system. Avent is known for its broad, soft, silicone nipple, which mimics the shape and feel of the breast&#x97;providing moms the flexibility to switch between bottle- and breastfeeding.Avent&#x92;s anti-vacuum skirt and one-way air valve help reduce colic.The naturally shaped nipple has a built-in anti-vacuum skirt and one-way air valve to ensure that liquid, rather than air, flows through the nipple and reduces baby&#x92;s chances of developing gas or colic. The bottles are a snap to assemble, can be reused, and their wide necks make them easy to clean and fill.If you use the Avent Natural Feeding System, these 9-ounce bottles are fully interchangeable, allowing you to pump, store, and feed from the same bottle. Each bottle is made of durable, polycarbonate plastic and comes with a sealing cap to prevent leaks.",Philips Avent 3 Pack 9oz Bottles,20.97,Philips Avent,,39
40,B000056HNZ,[['Baby']],"The discreetly quiet and portable Isis Back to Work Breast Pump  Set is a gentle, safe, and discreet way to express and store breast milk  for later feedings. This set weighs less than a pound and includes an  Isis handheld breast pump, an insulated shoulder bag (about the size of  a lunch box); two 4-ounce and two 9-ounce Avent bottles with newborn  nipples and silicone sealing lids; disposable breast pads; and two  freezer packs.The Isis breast pump is a one-handed manual pump (no  batteries or electrical hookups are required) with a silicone diaphragm  and soft cushion ""petals"" that work together to mimic breastfeeding. The  soft ""petals"" in the cushion send a message to the breast to stimulate a  natural let-down reflex, and the silicone diaphragm creates a vacuum to  help express more milk quickly and quietly. Many moms claim that this  manual pump can express the same volume of milk in the same amount of  time as the larger electric pumps. Dishwasher safe.--Deb  Oroszlan",Philips AVENT Isis On The Go Set,34.9,,,40
